Metric,Value
statistical_comparisons_5d_window_avg_effect_size,2.4814312338065063
statistical_comparisons_7d_window_avg_outbreak_mean,0.38343077319294194
statistical_comparisons_7d_window_avg_outbreak_std,0.2971330110407575
statistical_comparisons_7d_window_avg_control_mean,0.7139278787664136
statistical_comparisons_7d_window_avg_control_std,0.11529371279955775
statistical_comparisons_7d_window_avg_p_value,4.361035949210549e-07
statistical_comparisons_7d_window_avg_is_significant,True
statistical_comparisons_7d_window_avg_effect_size,2.0750239024743644
statistical_comparisons_1d_window_slope_outbreak_mean,-0.1215127465107904
statistical_comparisons_1d_window_slope_outbreak_std,0.12384301118890563
statistical_comparisons_1d_window_slope_control_mean,0.002227305400843155
statistical_comparisons_1d_window_slope_control_std,0.03166661070359989
statistical_comparisons_1d_window_slope_p_value,2.2086900881231693e-05
statistical_comparisons_1d_window_slope_is_significant,True
statistical_comparisons_1d_window_slope_effect_size,2.1505079343258977
statistical_comparisons_3d_window_slope_outbreak_mean,-0.1404628510879117
statistical_comparisons_3d_window_slope_outbreak_std,0.11761528709300462
statistical_comparisons_3d_window_slope_control_mean,0.00409733570734872
statistical_comparisons_3d_window_slope_control_std,0.02402636449081304
statistical_comparisons_3d_window_slope_p_value,2.145398811218596e-07
statistical_comparisons_3d_window_slope_is_significant,True
statistical_comparisons_3d_window_slope_effect_size,2.776042912888372
statistical_comparisons_5d_window_slope_outbreak_mean,-0.12668805560657254
statistical_comparisons_5d_window_slope_outbreak_std,0.0890870081057146
statistical_comparisons_5d_window_slope_control_mean,0.005406064119472853
statistical_comparisons_5d_window_slope_control_std,0.01936760039263946
statistical_comparisons_5d_window_slope_p_value,7.164396741829485e-11
statistical_comparisons_5d_window_slope_is_significant,True
statistical_comparisons_5d_window_slope_effect_size,3.309999581156147
statistical_comparisons_7d_window_slope_outbreak_mean,-0.10623019003081806
statistical_comparisons_7d_window_slope_outbreak_std,0.06205869744303334
statistical_comparisons_7d_window_slope_control_mean,0.005823050727630032
statistical_comparisons_7d_window_slope_control_std,0.016904902722581376
statistical_comparisons_7d_window_slope_p_value,5.039012630378678e-12
statistical_comparisons_7d_window_slope_is_significant,True
statistical_comparisons_7d_window_slope_effect_size,3.8212444817482867
statistical_comparisons_abs_change_1d_outbreak_mean,-0.12151274651079044
statistical_comparisons_abs_change_1d_outbreak_std,0.12384301118890569
