Metric,Value
statistical_comparisons_5d_window_slope_outbreak_mean,-0.12668805560657254
statistical_comparisons_5d_window_slope_outbreak_std,0.0890870081057146
statistical_comparisons_5d_window_slope_control_mean,0.003000884600810875
statistical_comparisons_5d_window_slope_control_std,0.019205968585068567
statistical_comparisons_5d_window_slope_p_value,2.3874888896572293e-10
statistical_comparisons_5d_window_slope_is_significant,True
statistical_comparisons_5d_window_slope_effect_size,3.255080786967108
statistical_comparisons_7d_window_slope_outbreak_mean,-0.10623019003081806
statistical_comparisons_7d_window_slope_outbreak_std,0.06205869744303334
statistical_comparisons_7d_window_slope_control_mean,0.0033001931173118194
statistical_comparisons_7d_window_slope_control_std,0.016664395342627716
statistical_comparisons_7d_window_slope_p_value,6.453393729966342e-12
statistical_comparisons_7d_window_slope_is_significant,True
statistical_comparisons_7d_window_slope_effect_size,3.7500093065510782
statistical_comparisons_abs_change_1d_outbreak_mean,-0.12151274651079044
statistical_comparisons_abs_change_1d_outbreak_std,0.12384301118890569
statistical_comparisons_abs_change_1d_control_mean,-0.0014610482485507338
statistical_comparisons_abs_change_1d_control_std,0.025938300465281568
statistical_comparisons_abs_change_1d_p_value,6.830009768707419e-05
statistical_comparisons_abs_change_1d_is_significant,True
statistical_comparisons_abs_change_1d_effect_size,2.179519868271747
statistical_comparisons_abs_change_3d_outbreak_mean,-0.408306317782033
statistical_comparisons_abs_change_3d_outbreak_std,0.33962277486611875
statistical_comparisons_abs_change_3d_control_mean,0.004112274974357395
statistical_comparisons_abs_change_3d_control_std,0.05630496486181838
statistical_comparisons_abs_change_3d_p_value,2.494555417835081e-07
statistical_comparisons_abs_change_3d_is_significant,True
statistical_comparisons_abs_change_3d_effect_size,2.830362903399354
statistical_comparisons_abs_change_5d_outbreak_mean,-0.597769045905601
statistical_comparisons_abs_change_5d_outbreak_std,0.3666410894344907
statistical_comparisons_abs_change_5d_control_mean,0.012860770649734734
statistical_comparisons_abs_change_5d_control_std,0.08691024128746896
statistical_comparisons_abs_change_5d_p_value,2.0804734072129805e-11
statistical_comparisons_abs_change_5d_is_significant,True
statistical_comparisons_abs_change_5d_effect_size,3.6503859331146513
statistical_comparisons_abs_change_7d_outbreak_mean,-0.7125874286456652
statistical_comparisons_abs_change_7d_outbreak_std,0.3545782683968346
statistical_comparisons_abs_change_7d_control_mean,0.01362337173272387
statistical_comparisons_abs_change_7d_control_std,0.09893529232272998
statistical_comparisons_abs_change_7d_p_value,8.939013004101523e-12
statistical_comparisons_abs_change_7d_is_significant,True
statistical_comparisons_abs_change_7d_effect_size,4.166802171482838
