pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group,sample_id
Pen 3,220725_220905,0,2022-08-21,0.9229451140899668,0.07705488591003322,0.8458902281799335,control,2
Pen 3,220725_220905,1,2022-08-20,0.9159364868107471,0.08406351318925287,0.8318729736214943,control,2
Pen 3,220725_220905,2,2022-08-19,0.9146614688899887,0.08533853111001148,0.829322937779977,control,2
Pen 3,220725_220905,3,2022-08-18,0.9047351575740517,0.09526484242594835,0.8094703151481033,control,2
Pen 3,220725_220905,4,2022-08-17,0.9020430186958004,0.09795698130419955,0.8040860373916009,control,2
Pen 3,220725_220905,5,2022-08-16,0.9055622489269061,0.09443775107309381,0.8111244978538124,control,2
Pen 3,220725_220905,6,2022-08-15,0.9072676501525248,0.09273234984747518,0.8145353003050496,control,2
Pen 3,220725_220905,7,2022-08-14,0.8936611583732536,0.10633884162674652,0.7873223167465069,control,2
Pen 3,220725_220905,8,2022-08-13,0.8731933730821483,0.12680662691785186,0.7463867461642963,control,2
Pen 3,220725_220905,9,2022-08-12,0.8563573149675728,0.14364268503242728,0.7127146299351454,control,2
Pen 3,220725_220905,10,2022-08-11,0.853399242739355,0.14660075726064492,0.7067984854787102,control,2
Pen 3,220725_220905,0,2022-08-25,0.93264689947356,0.06735310052643999,0.86529379894712,control,3
Pen 3,220725_220905,1,2022-08-24,0.9235612641882284,0.07643873581177159,0.8471225283764566,control,3
Pen 3,220725_220905,2,2022-08-23,0.9228083583817078,0.07719164161829208,0.8456167167634159,control,3
Pen 3,220725_220905,3,2022-08-22,0.9156629022913538,0.08433709770864616,0.8313258045827077,control,3
Pen 3,220725_220905,4,2022-08-21,0.9229451140899668,0.07705488591003322,0.8458902281799335,control,3
Pen 3,220725_220905,5,2022-08-20,0.9159364868107471,0.08406351318925287,0.8318729736214943,control,3
Pen 3,220725_220905,6,2022-08-19,0.9146614688899887,0.08533853111001148,0.829322937779977,control,3
Pen 3,220725_220905,7,2022-08-18,0.9047351575740517,0.09526484242594835,0.8094703151481033,control,3
Pen 3,220725_220905,8,2022-08-17,0.9020430186958004,0.09795698130419955,0.8040860373916009,control,3
Pen 3,220725_220905,9,2022-08-16,0.9055622489269061,0.09443775107309381,0.8111244978538124,control,3
Pen 3,220725_220905,10,2022-08-15,0.9072676501525248,0.09273234984747518,0.8145353003050496,control,3
Pen 3,220725_220905,0,2022-08-19,0.9146614688899887,0.08533853111001148,0.829322937779977,control,4
Pen 3,220725_220905,1,2022-08-18,0.9047351575740517,0.09526484242594835,0.8094703151481033,control,4
Pen 3,220725_220905,2,2022-08-17,0.9020430186958004,0.09795698130419955,0.8040860373916009,control,4
Pen 3,220725_220905,3,2022-08-16,0.9055622489269061,0.09443775107309381,0.8111244978538124,control,4
Pen 3,220725_220905,4,2022-08-15,0.9072676501525248,0.09273234984747518,0.8145353003050496,control,4
Pen 3,220725_220905,5,2022-08-14,0.8936611583732536,0.10633884162674652,0.7873223167465069,control,4
Pen 3,220725_220905,6,2022-08-13,0.8731933730821483,0.12680662691785186,0.7463867461642963,control,4
Pen 3,220725_220905,7,2022-08-12,0.8563573149675728,0.14364268503242728,0.7127146299351454,control,4
Pen 3,220725_220905,8,2022-08-11,0.853399242739355,0.14660075726064492,0.7067984854787102,control,4
Pen 3,220725_220905,9,2022-08-10,0.8494633077696475,0.1505366922303525,0.6989266155392949,control,4
Pen 3,220725_220905,10,2022-08-09,0.851313496461548,0.14868650353845214,0.7026269929230957,control,4
Pen 3,220725_220905,0,2022-08-26,0.9271214024071085,0.07287859759289157,0.8542428048142168,control,5
Pen 3,220725_220905,1,2022-08-25,0.93264689947356,0.06735310052643999,0.86529379894712,control,5
Pen 3,220725_220905,2,2022-08-24,0.9235612641882284,0.07643873581177159,0.8471225283764566,control,5
Pen 3,220725_220905,3,2022-08-23,0.9228083583817078,0.07719164161829208,0.8456167167634159,control,5
Pen 3,220725_220905,4,2022-08-22,0.9156629022913538,0.08433709770864616,0.8313258045827077,control,5
Pen 3,220725_220905,5,2022-08-21,0.9229451140899668,0.07705488591003322,0.8458902281799335,control,5
Pen 3,220725_220905,6,2022-08-20,0.9159364868107471,0.08406351318925287,0.8318729736214943,control,5
Pen 3,220725_220905,7,2022-08-19,0.9146614688899887,0.08533853111001148,0.829322937779977,control,5
Pen 3,220725_220905,8,2022-08-18,0.9047351575740517,0.09526484242594835,0.8094703151481033,control,5
Pen 3,220725_220905,9,2022-08-17,0.9020430186958004,0.09795698130419955,0.8040860373916009,control,5
Pen 3,220725_220905,10,2022-08-16,0.9055622489269061,0.09443775107309381,0.8111244978538124,control,5
Pen 3,221219_230125,0,2023-01-06,0.808491089067484,0.19150891093251599,0.6169821781349681,control,1
Pen 3,221219_230125,1,2023-01-05,0.8147004372417354,0.18529956275826473,0.6294008744834705,control,1
Pen 3,221219_230125,2,2023-01-04,0.8222345540177561,0.17776544598224386,0.6444691080355122,control,1
Pen 3,221219_230125,3,2023-01-03,0.8213739701829738,0.17862602981702635,0.6427479403659472,control,1
