pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group
Pen 3,220228_220330,6,2022-03-24,0.8172391096494588,0.1827608903505411,0.6344782192989178,outbreak
Pen 3,220228_220330,7,2022-03-23,0.8489592882411777,0.15104071175882228,0.6979185764823553,outbreak
Pen 3,220228_220330,8,2022-03-22,0.8618472184691065,0.13815278153089353,0.7236944369382129,outbreak
Pen 3,220228_220330,9,2022-03-21,0.8697686727930468,0.13023132720695316,0.7395373455860937,outbreak
Pen 3,220228_220330,10,2022-03-20,0.8742387451605388,0.12576125483946116,0.7484774903210777,outbreak
Pen 3,221003_221106,0,2022-10-25,0.38880595260727535,0.6111940473927245,-0.22238809478544921,outbreak
Pen 3,221003_221106,1,2022-10-24,0.5518856162860808,0.4481143837139192,0.1037712325721617,outbreak
Pen 3,221003_221106,2,2022-10-23,0.7235060532226383,0.2764939467773617,0.4470121064452765,outbreak
Pen 3,221003_221106,3,2022-10-22,0.8211192081596835,0.17888079184031644,0.6422384163193672,outbreak
Pen 3,221003_221106,4,2022-10-21,0.8728318017601179,0.12716819823988215,0.7456636035202356,outbreak
Pen 3,221003_221106,5,2022-10-20,0.8765734549552193,0.12342654504478064,0.7531469099104386,outbreak
Pen 3,221003_221106,6,2022-10-19,0.872376789812741,0.1276232101872589,0.7447535796254822,outbreak
Pen 3,221003_221106,7,2022-10-18,0.8774867284684781,0.12251327153152207,0.7549734569369558,outbreak
Pen 3,221003_221106,8,2022-10-17,0.8810986133937041,0.11890138660629594,0.7621972267874081,outbreak
Pen 3,221003_221106,9,2022-10-16,0.8810111933434452,0.11898880665655469,0.7620223866868906,outbreak
Pen 3,221003_221106,10,2022-10-15,0.8727934132478179,0.12720658675218213,0.7455868264956358,outbreak
Pen 3,230515_230621,0,2023-06-07,0.6801400413259214,0.31985995867407857,0.36028008265184286,outbreak
Pen 3,230515_230621,1,2023-06-06,0.7641239785711008,0.23587602142889916,0.5282479571422017,outbreak
Pen 3,230515_230621,2,2023-06-05,0.8508310873024736,0.14916891269752638,0.7016621746049472,outbreak
Pen 3,230515_230621,3,2023-06-04,0.9263857585942775,0.07361424140572233,0.8527715171885553,outbreak
Pen 3,230515_230621,4,2023-06-03,0.9421755449169047,0.05782445508309531,0.8843510898338094,outbreak
Pen 3,230515_230621,5,2023-06-02,0.9498827539090374,0.050117246090962665,0.8997655078180746,outbreak
Pen 3,230515_230621,6,2023-06-01,0.9530784241508571,0.04692157584914299,0.9061568483017141,outbreak
Pen 3,230515_230621,7,2023-05-31,0.9503848905944675,0.04961510940553258,0.9007697811889348,outbreak
Pen 3,230515_230621,8,2023-05-30,0.9473740290190565,0.05262597098094343,0.8947480580381132,outbreak
Pen 3,230515_230621,9,2023-05-29,0.9397690074185449,0.06023099258145523,0.8795380148370896,outbreak
Pen 3,230515_230621,10,2023-05-28,0.9275936859310493,0.07240631406895078,0.8551873718620985,outbreak
Pen 4,221003_221106,0,2022-11-06,0.8175470822058719,0.18245291779412823,0.6350941644117436,outbreak
Pen 4,221003_221106,1,2022-11-05,0.7961453527742582,0.20385464722574187,0.5922907055485164,outbreak
Pen 4,221003_221106,2,2022-11-04,0.7661641189846131,0.23383588101538683,0.5323282379692263,outbreak
Pen 4,221003_221106,3,2022-11-03,0.7898238182875688,0.2101761817124312,0.5796476365751376,outbreak
Pen 4,221003_221106,4,2022-11-02,0.8465085439613185,0.15349145603868158,0.6930170879226369,outbreak
Pen 4,221003_221106,5,2022-11-01,0.8534728694681992,0.14652713053180078,0.7069457389363984,outbreak
Pen 4,221003_221106,6,2022-10-31,0.8743619415292575,0.12563805847074247,0.7487238830585149,outbreak
Pen 4,221003_221106,7,2022-10-30,0.8610992578807272,0.13890074211927284,0.7221985157614542,outbreak
Pen 4,221003_221106,8,2022-10-29,0.8562459017709038,0.14375409822909616,0.7124918035418076,outbreak
Pen 4,221003_221106,9,2022-10-28,0.8491997035296729,0.15080029647032722,0.6983994070593456,outbreak
Pen 4,221003_221106,10,2022-10-27,0.8688009396062335,0.13119906039376653,0.737601879212467,outbreak
Pen 4,221226_230126,0,2023-01-20,0.21677103237519146,0.7832289676248086,-0.5664579352496172,outbreak
